ticker,bot_winner_score,avg_volatility,pattern_consistency,first_hour_intensity,avg_volume_millions,most_common_peak_hour,days_analyzed
NVVE,-26.121682381776495,17.78247297491378,56.666666666666664,33.21638302612067,0.12805298186397984,9,30
ASTS,28.965877499208815,9.666583538854967,46.666666666666664,31.35877942030569,0.14964991975308645,9,30
QBTS,39.66161590012085,8.657164977172489,43.333333333333336,32.30859420856409,0.4082007301236749,9,30
BE,35.36028694023375,8.559911323980874,53.333333333333336,35.98742877247306,0.14415197349823322,9,30
ARQQ,23.51935603281827,8.014540736462667,50.0,32.88168960612435,0.003195447513812155,9,30
RGTI,17.08143575140724,7.638493426608657,46.666666666666664,28.27848797837199,0.35484028275253643,9,30
QUBT,24.59773684291365,7.49822697907499,50.0,27.46636399458104,0.16784079541446206,9,30
SPCE,27.73703925439913,7.137674320374683,56.666666666666664,29.68604003718631,0.06463083782589484,9,30
UUUU,31.402202859763616,7.059428278006164,50.0,31.38739833047799,0.11605257199646643,9,30
UEC,30.03823731483844,6.616920288845548,43.333333333333336,25.59198412086001,0.10049122482332155,9,30
CHPT,16.52876236100855,5.695307010921157,43.333333333333336,26.122578612227368,0.007822462399283796,9,30
LCID,17.005803426035047,5.293892711564317,53.333333333333336,26.242256422276665,0.06570946296296297,9,30
